,Unnamed: 0,Replicates,Full model power,SD(Full model power),False discoveries,Full model FDR,SD(Full model FDR),Time,Active,name,signal,n,p,s,rho,equicor_rho,AR_weight
0,ModelX Knockoffs with Sigma (full),100,0.213,0.0177319235029,1.29,0.0858578019287,0.0119683904198,29.6593496108,7.68,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.144,0.0087544274513,0.7,0.13084953935,0.0184226642032,2.90867591381,20.99,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.275,0.010004165799,2.5,0.221930893453,0.0132497084312,5.70532180786,41.77,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.272666666667,0.0134029847422,2.72,0.205726512539,0.0136082274411,7.18914806843,50.73,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.239,0.00865454280197,3.28,0.253969722271,0.0172856923619,3.51173654795,21.53,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.346333333333,0.0100431845326,6.28,0.364568258185,0.0123695423511,6.29528436184,40.63,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.367333333333,0.013960101878,8.87,0.387552805622,0.0163812009065,7.9713823247,50.27,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
7,Lee et al. + theory (selected),100,0.115,0.0086458082329,0.24,0.0374372294372,0.00889022339112,0.544269104004,16.75,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.155333333333,0.0117115327776,0.72,0.0706347911348,0.0118903719436,0.516964435577,29.24,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
9,Lee et al. + 1SE (selected),100,0.119333333333,0.0108441484477,0.69,0.0626517464229,0.0120027416019,0.536890466213,34.83,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
10,Lee et al. + CV (selected),100,0.027,0.00875207911807,1.37,0.0526214689266,0.0184208986828,0.820792021751,120.93,Mixed,3.5,1000,2000,30,0.0,0.25,0.5
0,ModelX Knockoffs with Sigma (full),100,0.248,0.0187398565155,1.79,0.107172383444,0.0133886104882,30.6846277809,9.23,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.151,0.00926708632143,0.6,0.0945458152958,0.0158204648811,2.94683920145,19.95,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.297666666667,0.0116548034923,2.24,0.198596566574,0.0127123086811,5.73530024767,40.03,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.278,0.0146531756133,2.85,0.214739800992,0.0163927916857,7.01745338202,47.19,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.243,0.00910793305006,2.62,0.231464467035,0.016215383466,3.45655818462,19.85,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.352,0.00992550026727,5.7,0.334833183777,0.012829679191,6.62136724234,39.93,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.353,0.0154207291945,8.1,0.382304838765,0.0186129958936,8.1095037508,47.94,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
7,Lee et al. + theory (selected),100,0.130666666667,0.00908820970024,0.44,0.0589842885872,0.0117292110053,0.567649197578,15.21,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.168666666667,0.0139906317862,0.84,0.0869817623897,0.0171449851305,0.538562672138,27.81,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
9,Lee et al. + 1SE (selected),100,0.153333333333,0.0129957257931,1.07,0.0761867249367,0.0146944076322,0.55433065176,32.17,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
10,Lee et al. + CV (selected),100,0.0243333333333,0.00734627645667,1.87,0.046870068623,0.0176877140957,0.850419931412,117.28,Mixed,3.5,1000,2000,30,0.25,0.25,0.5
0,ModelX Knockoffs with Sigma (full),100,0.273333333333,0.0193333333333,1.74,0.109102964201,0.0129283394823,28.2802309656,9.94,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.156333333333,0.00988483687271,0.72,0.108924880675,0.0144334352001,2.58188123941,19.88,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.304666666667,0.0108014402332,2.8,0.227975308189,0.013599439032,5.16527742147,40.91,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.295,0.0119663881119,3.18,0.227373020815,0.0144118881385,7.11832909107,53.58,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.237,0.00945039681707,2.89,0.256764865988,0.0183336603883,3.09185566425,19.78,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.365,0.0102672618875,5.94,0.340945763751,0.0129316246796,5.95309415579,40.22,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.393333333333,0.0145907124188,9.58,0.392224373606,0.0156812036479,8.19034107447,53.68,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
7,Lee et al. + theory (selected),100,0.123,0.00849437722523,0.42,0.0623492063492,0.0131842875097,0.515809116364,15.59,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.180666666667,0.013301461908,0.67,0.0933487068487,0.0164025095045,0.489070994854,28.59,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
9,Lee et al. + 1SE (selected),100,0.156333333333,0.013537560916,1.18,0.110975352425,0.019260407629,0.521218857765,35.99,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
10,Lee et al. + CV (selected),100,0.055,0.0123051479742,3.85,0.090371826261,0.0233255738879,0.792040019035,119.03,Mixed,3.5,1000,2000,30,0.5,0.25,0.5
0,ModelX Knockoffs with Sigma (full),100,0.423666666667,0.0202610463698,2.23,0.105976590177,0.0103931341607,31.6555275917,14.94,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.242333333333,0.0117837458674,0.64,0.0753314683682,0.0129740002934,3.32086459875,22.34,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.436666666667,0.0114163625264,2.48,0.154501948469,0.00937997295124,5.87193411112,40.57,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.484666666667,0.0121144541767,4.67,0.222039646834,0.010140673509,11.6161296296,75.98,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.329,0.0090265657306,2.9,0.197188415313,0.0139092900804,3.88686378956,22.27,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.483,0.00914688775243,6.23,0.286507992163,0.0113672629471,7.62209577799,40.82,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.568,0.0135640046528,14.01,0.408962609714,0.0132199591612,13.1680453467,75.5,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
7,Lee et al. + theory (selected),100,0.197666666667,0.0103414484264,0.19,0.0194243534244,0.00677936313692,0.603512997627,17.47,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.274666666667,0.0146144525119,0.73,0.0542038159747,0.00975513253454,0.571270947456,29.6,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
9,Lee et al. + 1SE (selected),100,0.252666666667,0.0168204901501,0.82,0.0694548377842,0.0106984585367,0.632187664509,47.74,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
10,Lee et al. + CV (selected),100,0.0583333333333,0.0132024829315,4.13,0.105642239535,0.0265114414346,0.94318267107,129.89,Mixed,4.0,1000,2000,30,0.0,0.25,0.5
0,ModelX Knockoffs with Sigma (full),100,0.463333333333,0.0182178178959,2.71,0.131362828003,0.0104570227294,29.2744790077,16.61,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
1,"Randomized LASSO + theory, smaller noise (selected)",100,0.248,0.00982423307722,0.69,0.073206016206,0.00922702263718,2.99663759947,21.69,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
2,"Randomized LASSO + theory, aggressive, smaller noise (selected)",100,0.432,0.0107798165311,2.66,0.163951067114,0.00880671707405,5.6648803401,41.7,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
3,"Randomized LASSO + 1SE, smaller noise (selected)",100,0.477333333333,0.012264492561,4.93,0.233154210973,0.0127885156646,11.1550882268,76.24,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
4,"Randomized LASSO + theory, smaller noise (full)",100,0.321333333333,0.00869891436394,2.83,0.197383433926,0.013327579863,3.5554026103,21.75,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
5,"Randomized LASSO + theory, aggressive, smaller noise (full)",100,0.471333333333,0.00860258359125,6.5,0.298060928121,0.0113143925432,6.5684939599,41.85,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
6,"Randomized LASSO + 1SE, smaller noise (full)",100,0.575,0.012314174308,13.7,0.410548503739,0.0127199402113,12.6969735646,76.88,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
7,Lee et al. + theory (selected),100,0.183,0.0109594707901,0.37,0.0373104673105,0.00934219373741,0.553692679405,16.76,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
8,"Lee et al. + theory, aggressive (selected)",100,0.285666666667,0.0144703144403,1.21,0.0956216254076,0.0124496683165,0.521317856312,29.83,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
9,Lee et al. + 1SE (selected),100,0.219666666667,0.0178331464165,1.44,0.0900365523509,0.0173715175585,0.584669744968,49.13,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
10,Lee et al. + CV (selected),100,0.052,0.0122321979491,4.01,0.0858885796026,0.0229826936213,0.871386377811,134.5,Mixed,4.0,1000,2000,30,0.25,0.25,0.5
